season_code,date,gamecode_num,home_team_code,away_team_code,home,y,home_games_played_pre,away_games_played_pre,d_r5_ts_pre,d_r5_efg_pre,d_r5_to_pre,d_r5_margin_pre,d_r5_usage_conc_pre
E2025,2025-10-15 00:00:00+00:00,37,PRS,BAS,1,1,3,3,-0.061011092743203044,-0.061505141962888366,1.666666666666666,4.666666666666667,0.0055381008608915705
E2025,2025-10-15 00:00:00+00:00,38,MAD,PAR,1,1,3,3,-0.0018846416546977052,0.000985864230040323,1.666666666666666,8.0,-0.04892403198706785
E2025,2025-10-15 00:00:00+00:00,39,PAM,HTA,1,0,3,3,-0.03250123609118416,-0.012776024800481345,2.0,-1.0,-0.053690146397757044
E2025,2025-10-15 00:00:00+00:00,40,VIR,MCO,1,1,3,3,-0.013670875232590252,-0.026239689472235095,7.666666666666666,-11.333333333333334,-0.030566892593563044
E2025,2025-10-16 00:00:00+00:00,41,DUB,BAR,1,1,4,4,-0.06693679991424273,-0.0955158368822806,-3.25,-5.5,0.08674853740086563
E2025,2025-10-16 00:00:00+00:00,42,ULK,MUN,1,1,4,4,0.006367498488916823,-0.006207254401631279,3.0,0.75,0.024796600494625787
E2025,2025-10-16 00:00:00+00:00,43,TEL,OLY,1,0,4,4,-9.639104834757717e-06,0.016032013075474194,1.0,-7.75,-0.0848142464718657
E2025,2025-10-16 00:00:00+00:00,44,ZAL,MIL,1,0,4,4,0.05771346450286541,0.054557011521883525,-0.5,8.25,0.046040580595371694
E2025,2025-10-17 00:00:00+00:00,45,IST,PAN,1,0,4,4,0.011486563663437588,0.006743918087642631,-0.25,-2.5,0.013795625075950668
E2025,2025-10-17 00:00:00+00:00,46,MCO,PAM,1,1,4,4,-0.029451374322706503,-0.04037834614872615,-5.5,4.25,0.07151343471435478
E2025,2025-10-17 00:00:00+00:00,47,BAS,PAR,1,0,4,4,0.002998418330114494,0.0012490294709363026,6.25,-5.25,0.01171212713753017
E2025,2025-10-17 00:00:00+00:00,48,RED,MAD,1,1,4,4,0.0021791205780329337,0.0020332436733533354,2.0,-7.75,0.1369105828940167
E2025,2025-10-17 00:00:00+00:00,49,ASV,VIR,1,0,4,4,-0.010452397787748424,0.0017784985230538952,-3.25,-1.25,-0.03552469153272031
E2025,2025-10-17 00:00:00+00:00,50,PRS,HTA,1,0,4,4,-0.09972133714480635,-0.08437659058060565,2.25,0.25,-0.02162289625236441
E2025,2025-10-22 00:00:00+00:00,51,TEL,MAD,1,1,5,5,0.013366755688156484,0.004881390177279954,0.7999999999999989,-6.8,0.03510547469203518
E2025,2025-10-23 00:00:00+00:00,52,RED,BAS,1,1,5,5,0.010497852694143606,0.015943234625344527,-0.3999999999999986,11.0,0.04732364870592609
E2025,2025-10-23 00:00:00+00:00,53,MIL,PAM,1,0,5,5,-0.017335517276443446,-0.02551577872743982,-2.8000000000000007,2.4,0.017916641313984183
E2025,2025-10-23 00:00:00+00:00,54,BAR,ZAL,1,0,5,5,0.015042503948723862,0.014947200109320491,1.0,-0.6000000000000001,-0.02830429338340751
E2025,2025-10-23 00:00:00+00:00,55,HTA,MCO,1,1,5,5,0.06572889018350914,0.05300959934604288,3.5999999999999996,-1.0000000000000004,-0.025115435199987324
E2025,2025-10-23 00:00:00+00:00,56,ASV,DUB,1,1,5,5,-0.00565677552769106,0.019083325523814976,1.200000000000001,-4.6000000000000005,-0.09071609261360358
E2025,2025-10-24 00:00:00+00:00,57,IST,ULK,1,0,5,5,-0.015614127867308425,-0.01814679840053024,-3.5999999999999996,-3.4,0.035796710760910955
E2025,2025-10-24 00:00:00+00:00,58,MUN,OLY,1,0,5,5,-0.04095305497999946,-0.014243895336138013,-1.799999999999999,-8.2,-0.07774330730429502
E2025,2025-10-24 00:00:00+00:00,59,PAR,PRS,1,0,5,5,0.04054238574225111,0.043101917168604786,-5.199999999999999,-3.2,0.0032868727608714177
E2025,2025-10-24 00:00:00+00:00,60,VIR,PAN,1,1,5,5,0.0038523767203648696,0.009508674759021285,4.0,-5.199999999999999,-0.04199431950436572
E2025,2025-10-28 00:00:00+00:00,61,BAS,DUB,1,1,6,6,-0.004522416425800313,0.03146782283763416,2.5999999999999996,-7.800000000000001,-0.05728595555676308
E2025,2025-10-28 00:00:00+00:00,62,RED,ASV,1,1,6,6,0.03201004087931436,0.025145182979186997,2.8000000000000007,10.2,0.08484219892815503
