season_code,gamecode_num,gamecode_full,date,team_code,opponent_code,home_away,player_id,player_name,min,pts,ast,reb,stl,blk,to,pf,fgm,fga,tpm,tpa,ftm,fta,ts,efg,usage_proxy
E2025,1,E2025_1,2025-09-30T00:00:00+00:00,TEL,IST,away,P013699,"CLARK III, JIMMY",17.383333333333333,7.0,0.0,0.0,3.0,0.0,1.0,5.0,3.0,11.0,0.0,2.0,1.0,1.0,0.30594405594405594,0.2727272727272727,12.44
E2025,1,E2025_1,2025-09-30T00:00:00+00:00,TEL,IST,away,P014012,"LEAF, TJ",8.433333333333334,3.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0416666666666667,1.0,1.44
E2025,1,E2025_1,2025-09-30T00:00:00+00:00,TEL,IST,away,P014123,"DOWTIN JR, JEFFREY",19.8,8.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,5.0,1.0,3.0,1.0,1.0,0.7352941176470588,0.7,8.440000000000001
E2025,1,E2025_1,2025-09-30T00:00:00+00:00,TEL,IST,away,P014127,"BRISSETT, O'SHAE J",25.416666666666668,9.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,9.0,1.0,3.0,0.0,1.0,0.4766949152542373,0.5,10.44
E2025,2,E2025_2,2025-09-30T00:00:00+00:00,BAS,OLY,home,P007230,"SEDEKERSKIS, TADAS",24.833333333333332,8.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,7.0,2.0,6.0,0.0,0.0,0.5714285714285714,0.5714285714285714,8.0
E2025,2,E2025_2,2025-09-30T00:00:00+00:00,BAS,OLY,home,P007579,"SAMANIC, LUKA",18.45,7.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,7.0,1.0,3.0,0.0,0.0,0.5,0.5,10.0
E2025,2,E2025_2,2025-09-30T00:00:00+00:00,BAS,OLY,home,P008072,"DIOP, KHALIFA",21.316666666666666,3.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,0.5208333333333334,0.5,2.88
E2025,2,E2025_2,2025-09-30T00:00:00+00:00,BAS,OLY,home,P008173,"SPAGNOLO, MATTEO",9.533333333333333,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E2025,2,E2025_2,2025-09-30T00:00:00+00:00,BAS,OLY,home,P010035,"VILLAR, RAFA",0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2025,2,E2025_2,2025-09-30T00:00:00+00:00,BAS,OLY,home,P011948,"HOWARD, MARKUS",22.333333333333332,12.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,12.0,4.0,11.0,0.0,0.0,0.5,0.5,14.0
E2025,2,E2025_2,2025-09-30T00:00:00+00:00,BAS,OLY,home,P012080,"LUWAWU-CABARROT, TIMOTHE",24.783333333333335,23.0,0.0,0.0,1.0,0.0,1.0,4.0,8.0,13.0,5.0,8.0,2.0,2.0,0.8285302593659942,0.8076923076923077,14.88
E2025,2,E2025_2,2025-09-30T00:00:00+00:00,BAS,OLY,home,P013367,"FORREST, TRENT",30.266666666666666,14.0,0.0,0.0,2.0,0.0,1.0,2.0,4.0,10.0,0.0,3.0,6.0,6.0,0.5537974683544303,0.4,13.64
E2025,2,E2025_2,2025-09-30T00:00:00+00:00,BAS,OLY,home,P014026,"FRISCH, CLEMENT",14.1,8.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,2.0,4.0,0.0,0.0,0.8,0.8,5.0
E2025,2,E2025_2,2025-09-30T00:00:00+00:00,BAS,OLY,home,P014086,"DIALLO, HAMIDOU",20.483333333333334,15.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,10.0,0.0,2.0,3.0,4.0,0.6377551020408163,0.6,12.76
