gamecode_full,gamecode_num,date,group,round,home_team_code,away_team_code,home_score,away_score,season_code
E2025_64,64,2025-10-28T00:00:00+00:00,Regular Season,RS,MUN,MAD,90,84,E2025
E2025_65,65,2025-10-28T00:00:00+00:00,Regular Season,RS,PAN,TEL,99,85,E2025
E2025_66,66,2025-10-28T00:00:00+00:00,Regular Season,RS,PRS,IST,80,90,E2025
E2025_67,67,2025-10-28T00:00:00+00:00,Regular Season,RS,PAM,ULK,94,79,E2025
E2025_68,68,2025-10-28T00:00:00+00:00,Regular Season,RS,ZAL,VIR,86,65,E2025
E2025_69,69,2025-10-29T00:00:00+00:00,Regular Season,RS,HTA,PAR,97,84,E2025
E2025_70,70,2025-10-29T00:00:00+00:00,Regular Season,RS,OLY,MCO,87,92,E2025
E2025_71,71,2025-10-30T00:00:00+00:00,Regular Season,RS,MIL,PRS,86,77,E2025
E2025_72,72,2025-10-30T00:00:00+00:00,Regular Season,RS,MUN,VIR,86,70,E2025
E2025_73,73,2025-10-30T00:00:00+00:00,Regular Season,RS,TEL,RED,92,99,E2025
E2025_74,74,2025-10-30T00:00:00+00:00,Regular Season,RS,MAD,ULK,84,58,E2025
E2025_75,75,2025-10-30T00:00:00+00:00,Regular Season,RS,PAM,DUB,80,78,E2025
E2025_76,76,2025-10-30T00:00:00+00:00,Regular Season,RS,ZAL,ASV,96,59,E2025
E2025_77,77,2025-10-31T00:00:00+00:00,Regular Season,RS,MCO,PAN,92,84,E2025
E2025_78,78,2025-10-31T00:00:00+00:00,Regular Season,RS,BAS,IST,86,75,E2025
E2025_79,79,2025-10-31T00:00:00+00:00,Regular Season,RS,OLY,HTA,62,58,E2025
E2025_80,80,2025-10-31T00:00:00+00:00,Regular Season,RS,PAR,BAR,76,78,E2025
E2025_83,83,2025-11-05T00:00:00+00:00,Regular Season,RS,RED,PAN,86,68,E2025
E2025_81,81,2025-11-06T00:00:00+00:00,Regular Season,RS,PRS,MUN,82,86,E2025
E2025_82,82,2025-11-06T00:00:00+00:00,Regular Season,RS,BAS,VIR,87,76,E2025
E2025_84,84,2025-11-06T00:00:00+00:00,Regular Season,RS,DUB,HTA,97,109,E2025
E2025_85,85,2025-11-06T00:00:00+00:00,Regular Season,RS,ULK,ASV,81,67,E2025
E2025_86,86,2025-11-06T00:00:00+00:00,Regular Season,RS,TEL,MCO,107,112,E2025
E2025_87,87,2025-11-07T00:00:00+00:00,Regular Season,RS,IST,MIL,93,97,E2025
E2025_88,88,2025-11-07T00:00:00+00:00,Regular Season,RS,BAR,MAD,92,101,E2025
E2025_89,89,2025-11-07T00:00:00+00:00,Regular Season,RS,OLY,PAR,80,71,E2025
E2025_90,90,2025-11-07T00:00:00+00:00,Regular Season,RS,ZAL,PAM,86,77,E2025
E2025_91,91,2025-11-11T00:00:00+00:00,Regular Season,RS,ULK,TEL,84,75,E2025
E2025_92,92,2025-11-11T00:00:00+00:00,Regular Season,RS,HTA,BAS,114,89,E2025
E2025_93,93,2025-11-11T00:00:00+00:00,Regular Season,RS,PRS,PAN,95,101,E2025
E2025_94,94,2025-11-11T00:00:00+00:00,Regular Season,RS,PAM,MAD,89,76,E2025
E2025_95,95,2025-11-11T00:00:00+00:00,Regular Season,RS,VIR,IST,99,89,E2025
E2025_96,96,2025-11-11T00:00:00+00:00,Regular Season,RS,DUB,RED,102,86,E2025
E2025_97,97,2025-11-11T00:00:00+00:00,Regular Season,RS,PAR,MCO,78,76,E2025
E2025_98,98,2025-11-12T00:00:00+00:00,Regular Season,RS,MIL,ASV,80,72,E2025
E2025_99,99,2025-11-12T00:00:00+00:00,Regular Season,RS,MUN,BAR,74,75,E2025
E2025_100,100,2025-11-12T00:00:00+00:00,Regular Season,RS,OLY,ZAL,95,78,E2025
E2025_101,101,2025-11-13T00:00:00+00:00,Regular Season,RS,ULK,HTA,74,68,E2025
E2025_102,102,2025-11-13T00:00:00+00:00,Regular Season,RS,TEL,BAS,89,83,E2025
E2025_103,103,2025-11-13T00:00:00+00:00,Regular Season,RS,PRS,PAM,90,86,E2025
E2025_104,104,2025-11-13T00:00:00+00:00,Regular Season,RS,MAD,PAN,77,87,E2025
E2025_105,105,2025-11-13T00:00:00+00:00,Regular Season,RS,RED,MCO,91,79,E2025
E2025_106,106,2025-11-14T00:00:00+00:00,Regular Season,RS,IST,MUN,74,72,E2025
E2025_107,107,2025-11-14T00:00:00+00:00,Regular Season,RS,DUB,ZAL,95,89,E2025
E2025_108,108,2025-11-14T00:00:00+00:00,Regular Season,RS,MIL,OLY,88,87,E2025
